pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,Fixation.started,line_1.started,line_2.started,line_3.started,line_4.started,Fixation.stopped,Probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-150,z,19,3,79,3,,,,,193.05139690000033,,193.0381082999993,193.05139690000033,194.05135250000058,194.05135250000058,194.05135250000058,194.05135250000058,194.05135250000058,195.05114139999932,195.05114139999932,195.40383830000064,z,1,0.3396978000000672,None,X,001,2024-10-17_14h46.58.334,Motor Sequence Task,2024.1.5,None,2024-10-17 14h47.07.095221 +0530,
-50,x,20,0,80,0,,,,,195.4176607999998,,195.40444380000008,195.4176607999998,196.41755329999978,196.41755329999978,196.41755329999978,196.41755329999978,196.41755329999978,197.41741039999943,197.41741039999943,197.90323139999964,x,1,0.4804559000003792,None,X,001,2024-10-17_14h46.58.334,Motor Sequence Task,2024.1.5,None,2024-10-17 14h47.07.095221 +0530,
150,v,20,1,81,1,,,,,197.91727449999962,,197.90383870000005,197.91727449999962,198.9174738999991,198.9174738999991,198.9174738999991,198.9174738999991,198.9174738999991,199.91732000000047,199.91732000000047,200.50287480000043,v,1,0.5783562999986316,None,X,001,2024-10-17_14h46.58.334,Motor Sequence Task,2024.1.5,None,2024-10-17 14h47.07.095221 +0530,
50,c,20,2,82,2,,,,,200.51701879999928,,200.5034773999996,200.51701879999928,201.51706319999903,201.51706319999903,201.51706319999903,201.51706319999903,201.51706319999903,202.51696850000008,202.51696850000008,203.0201933999997,c,1,0.4936914000008983,None,X,001,2024-10-17_14h46.58.334,Motor Sequence Task,2024.1.5,None,2024-10-17 14h47.07.095221 +0530,
-150,z,20,3,83,3,,,,,203.0337227,,203.02080209999986,203.0337227,204.0333140999992,204.0333140999992,204.0333140999992,204.0333140999992,204.0333140999992,205.0332397000002,205.0332397000002,205.36907059999976,z,1,0.32754600000043865,None,X,001,2024-10-17_14h46.58.334,Motor Sequence Task,2024.1.5,None,2024-10-17 14h47.07.095221 +0530,
-50,x,21,0,84,0,,,,,205.38305740000033,,205.3696691999994,205.38305740000033,206.38327589999972,206.38327589999972,206.38327589999972,206.38327589999972,206.38327589999972,207.38287879999916,207.38287879999916,207.7355177999998,x,1,0.3470075999994151,None,X,001,2024-10-17_14h46.58.334,Motor Sequence Task,2024.1.5,None,2024-10-17 14h47.07.095221 +0530,
150,v,21,1,85,1,,,,,207.74973089999912,,207.73612259999936,207.74973089999912,208.74941249999938,208.74941249999938,208.74941249999938,208.74941249999938,208.74941249999938,209.7493360999997,209.7493360999997,210.1185645000005,v,1,0.356505499999912,None,X,001,2024-10-17_14h46.58.334,Motor Sequence Task,2024.1.5,None,2024-10-17 14h47.07.095221 +0530,
50,c,21,2,86,2,,,,,210.13257879999946,,210.11916689999998,210.13257879999946,211.1323639000002,211.1323639000002,211.1323639000002,211.1323639000002,211.1323639000002,212.13232400000015,212.13232400000015,212.58483999999953,c,1,0.4476441999995586,None,X,001,2024-10-17_14h46.58.334,Motor Sequence Task,2024.1.5,None,2024-10-17 14h47.07.095221 +0530,
-150,z,21,3,87,3,,,,,212.59894320000058,,212.58543569999892,212.59894320000058,213.59869020000042,213.59869020000042,213.59869020000042,213.59869020000042,213.59869020000042,214.59864729999936,214.59864729999936,215.0511502999998,z,1,0.44096390000049723,None,X,001,2024-10-17_14h46.58.334,Motor Sequence Task,2024.1.5,None,2024-10-17 14h47.07.095221 +0530,
-50,x,22,0,88,0,,,,,215.06516249999913,,215.05174830000033,215.06516249999913,216.06515769999896,216.06515769999896,216.06515769999896,216.06515769999896,216.06515769999896,217.0648366000005,217.0648366000005,217.46772359999886,x,1,0.3948876000013115,None,X,001,2024-10-17_14h46.58.334,Motor Sequence Task,2024.1.5,None,2024-10-17 14h47.07.095221 +0530,
